"Subject","Target.RT.notono_invalida_congruent","Target.RT.notono_invalida_incongruent","Target.RT.notono_nocue_congruent","Target.RT.notono_nocue_incongruent","Target.RT.notono_valida_congruent","Target.RT.notono_valida_incongruent","Target.RT.tono_invalida_congruent","Target.RT.tono_invalida_incongruent","Target.RT.tono_nocue_congruent","Target.RT.tono_nocue_incongruent","Target.RT.tono_valida_congruent","Target.RT.tono_valida_incongruent","notono_RT","tono_RT","invalid_RT","nocue_RT","valid_RT","congruent_RT","incongruent_RT"
150,569.695652173913,650.823529411765,617.954545454545,587.368421052632,650.869565217391,633.263157894737,584.863636363636,672.666666666667,545.130434782609,640.416666666667,506.047619047619,553.913043478261,617.268292682927,584.089552238806,616.385542168675,598.443181818182,585.686046511628,579.850746268657,621.886178861789
151,514.541666666667,549.590909090909,537.541666666667,579.869565217391,528.380952380952,540.375,488.75,555.125,489.521739130435,561.5,490.208333333333,507.333333333333,541.615942028986,515.587412587413,526.521276595745,542.265957446809,516.193548387097,507.857142857143,548.737588652482
152,668.238095238095,639.347826086957,636,629.363636363636,606.086956521739,647.6,554.826086956522,599.875,551.173913043478,547,567.833333333333,595.04347826087,637.160305343511,569.661870503597,614.241758241758,590.438202247191,602.288888888889,595.816176470588,609.10447761194
153,612.863636363636,619.333333333333,592.708333333333,688.045454545455,560.857142857143,606.958333333333,557.260869565217,676.458333333333,550.173913043478,594.130434782609,524.083333333333,580.333333333333,613.402985074627,580.687943262411,617.122222222222,605.228260869565,568.290322580645,565.948905109489,627.086956521739
154,483.625,507.04347826087,472.5,515.5,447.5,518,475.666666666667,511.04347826087,413.695652173913,473.739130434783,467.434782608696,506.478260869565,489.791366906475,474.68345323741,494.031914893617,469.393617021277,483.333333333333,460.345070422535,505.095588235294
155,602.666666666667,666.454545454545,611.478260869565,659.083333333333,560.454545454545,614.772727272727,623.565217391304,693.045454545455,570.916666666667,622.333333333333,535.782608695652,602.916666666667,619.813432835821,607.285714285714,646.670454545455,616,578.549450549451,583.948529411765,642.449275362319
156,685.52380952381,763,712.045454545455,746.695652173913,812.130434782609,726.318181818182,671.173913043478,738.347826086957,685.166666666667,696.291666666667,648.583333333333,679.478260869565,741.947368421053,686.297872340426,714.61797752809,709.612903225806,715.782608695652,702.094890510949,724.525547445255
157,552.125,584.739130434783,532.125,573.708333333333,541.047619047619,538.636363636364,534.833333333333,559.583333333333,504.391304347826,506.916666666667,526.9,547.291666666667,554,530.258992805755,557.536842105263,529.547368421053,538.908045977012,532.051470588235,551.765957446809
158,537.333333333333,544,534.260869565217,587.130434782609,506,566.47619047619,512.304347826087,553.772727272727,458.136363636364,539,466.041666666667,526.95652173913,546.12030075188,509.102189781022,536.511111111111,530.417582417582,514.910112359551,502.605839416058,552.812030075188
159,615.380952380952,674.727272727273,573.130434782609,636.238095238095,548.125,630.791666666667,555.238095238095,718,596.125,655.285714285714,539.458333333333,597.391304347826,611.881481481482,609.772058823529,643,613.606741573034,578.747368421053,570.613138686131,651.932835820896
160,590.75,669.647058823529,675.142857142857,664.6,605.869565217391,635.818181818182,687.260869565217,702.25,656.434782608696,665.833333333333,611.291666666667,648.916666666667,640.579831932773,661.859154929577,668.7125,665.318181818182,625.462365591398,639.546153846154,664.671755725191
161,682.478260869565,701.416666666667,675.954545454545,700.478260869565,658.304347826087,713,693.565217391304,763.625,735.833333333333,672.5,647.833333333333,695.916666666667,688.789855072464,701.601398601399,710.744680851064,696.58064516129,678.617021276596,682.510791366906,707.838028169014
162,536.565217391304,540.045454545455,601.04347826087,560.291666666667,523.952380952381,553.625,550.428571428571,560.5,551.454545454545,534.954545454545,488.875,540.090909090909,553.160583941606,537.237037037037,547.033333333333,562.32967032967,526.428571428571,541.731343283582,548.68115942029
163,780.45,717.590909090909,667.909090909091,682.736842105263,664.352941176471,719.764705882353,675.736842105263,704.045454545455,680.75,664.952380952381,713.894736842105,649.45,705.91452991453,681.487603305785,719.566265060241,673.719512195122,686.068493150685,697.564102564103,689.561983471074
164,669.85,714.478260869565,726.086956521739,727.5,693.619047619048,654.913043478261,680.571428571429,667.217391304348,674.409090909091,688.739130434783,631.45,592.25,698.212121212121,655.330827067669,683.540229885057,704.255555555556,641.727272727273,680.48031496063,673.202898550725
166,665.454545454545,696.95652173913,591.7,802.083333333333,572.727272727273,636.75,623.208333333333,715.666666666667,569.791666666667,634.791666666667,537.916666666667,550.791666666667,663.97037037037,605.361111111111,675.301075268817,652.108695652174,574.585106382979,592.764705882353,672.671328671329
167,681.238095238095,694.944444444444,651.684210526316,762.181818181818,678,620.5,601.913043478261,656.857142857143,607.291666666667,613.565217391304,537.708333333333,617.272727272727,682.752066115703,604.452554744526,656.060240963855,657.238636363636,610.724137931035,623.106060606061,660.103174603175
168,577.541666666667,675.391304347826,546.826086956522,652.863636363636,510.291666666667,588.478260869565,516.708333333333,678.416666666667,556.625,701.478260869565,532.608695652174,579.913043478261,590.769784172662,594.070921985816,611.347368421053,613.402173913043,552.365591397849,540.105633802817,646.275362318841
169,491.416666666667,538.958333333333,543.416666666667,588.454545454545,506.909090909091,540.666666666667,482.125,562.761904761905,496.833333333333,534.791666666667,533.913043478261,556.416666666667,534.607142857143,527.014285714286,517.397849462366,539.86170212766,535.075268817204,508.957446808511,552.978417266187
170,447.833333333333,547.409090909091,452.409090909091,532.363636363636,454.166666666667,520.875,459,572.1,433.833333333333,525.181818181818,445.083333333333,490.708333333333,491.717391304348,484.846715328467,503.258426966292,484.788888888889,477.708333333333,448.595744680851,530.067164179104
171,605.5,618.086956521739,608.086956521739,639.5,592.666666666667,602.75,543.695652173913,643.869565217391,532.375,563.958333333333,557.291666666667,564.5,611.070422535211,567.246478873239,602.817204301075,585.747368421053,579.302083333333,573.232394366197,605.084507042254
172,673.136363636364,759.947368421053,722.409090909091,748.652173913043,665.416666666667,744.478260869565,789.318181818182,827.458333333333,691.541666666667,682.541666666667,688.833333333333,708.652173913043,717.691729323308,730.730496453901,764.045977011494,710.645161290323,701.31914893617,704.101449275362,745
173,549.173913043478,523,512.090909090909,565.181818181818,486.181818181818,545.739130434783,491.090909090909,526.5,483.086956521739,480.565217391304,449.166666666667,514.454545454545,530.375,490.594202898551,522.827956989247,509.6,498.307692307692,494.764705882353,525.688405797101
174,591.083333333333,601.130434782609,610.125,562.608695652174,538.833333333333,547.347826086957,536.782608695652,532.913043478261,524.958333333333,540.772727272727,469.652173913043,511.727272727273,575.290780141844,519.408759124088,565.752688172043,559.989247311828,517.184782608696,545.830985915493,549.757352941176
175,507.95,623.45,544.428571428571,534.857142857143,489.947368421053,632.647058823529,562.565217391304,659.222222222222,568.181818181818,582.25,506.238095238095,560.333333333333,553.872881355932,571.040983606557,585.592592592593,557.261904761905,543.746666666667,531.515873015873,596.956140350877
176,531.541666666667,557.5,481.130434782609,516.625,503.375,561.727272727273,586.583333333333,581.5,490.666666666667,501.434782608696,447.260869565217,530.166666666667,525.113475177305,523.619718309859,564.28125,497.595744680851,510.215053763441,507.359154929577,541.489361702128
177,522.954545454545,591.764705882353,474.521739130435,558.428571428571,439.25,506,465.434782608696,542.125,436.791666666667,496.333333333333,416.458333333333,472.478260869565,508.042735042735,466.770992366412,524.923076923077,483.390243902439,454.613636363636,458.171428571429,522.62962962963
178,493.826086956522,558.15,575.434782608696,522.5,478.086956521739,547.842105263158,514.391304347826,577.227272727273,467.791666666667,487.083333333333,456.478260869565,499.772727272727,528.123076923077,499.572463768116,534.670454545455,512.333333333333,493.091954022988,497.453237410072,530.627906976744
179,697.05,647.35,696.47619047619,724.631578947368,662.611111111111,649.913043478261,545.238095238095,619.904761904762,577.545454545455,655.190476190476,535.347826086957,641.157894736842,678.98347107438,593.92125984252,626.292682926829,660.951807228916,618.915662650602,615.704,655.463414634146
