"Subject","Target.ACC.notono_invalida_congruent","Target.ACC.notono_invalida_incongruent","Target.ACC.notono_nocue_congruent","Target.ACC.notono_nocue_incongruent","Target.ACC.notono_valida_congruent","Target.ACC.notono_valida_incongruent","Target.ACC.tono_invalida_congruent","Target.ACC.tono_invalida_incongruent","Target.ACC.tono_nocue_congruent","Target.ACC.tono_nocue_incongruent","Target.ACC.tono_valida_congruent","Target.ACC.tono_valida_incongruent","notono_ACC","tono_ACC","invalid_ACC","nocue_ACC","valid_ACC","congruent_ACC","incongruent_ACC"
155,12.5,8.33333333333334,4.16666666666666,0,8.33333333333334,8.33333333333334,4.16666666666666,8.33333333333334,0,0,4.16666666666666,0,6.94444444444444,2.77777777777778,8.33333333333334,1.04166666666666,5.20833333333334,5.55555555555556,4.16666666666666
156,12.5,8.33333333333334,8.33333333333334,4.16666666666666,4.16666666666666,8.33333333333334,4.16666666666666,4.16666666666666,0,0,0,4.16666666666666,7.63888888888888,2.08333333333334,7.29166666666666,3.125,4.16666666666666,4.86111111111112,4.86111111111112
157,0,4.16666666666666,0,0,12.5,8.33333333333334,0,0,4.16666666666666,0,16.6666666666667,0,4.16666666666666,3.47222222222222,1.04166666666666,1.04166666666666,9.375,5.55555555555556,2.08333333333334
158,0,12.5,4.16666666666666,4.16666666666666,12.5,12.5,4.16666666666666,8.33333333333334,8.33333333333334,4.16666666666666,0,4.16666666666666,7.63888888888888,4.86111111111112,6.25,5.20833333333334,7.29166666666666,4.86111111111112,7.63888888888888
159,8.33333333333334,8.33333333333334,4.16666666666666,12.5,0,0,8.33333333333334,4.16666666666666,0,12.5,0,4.16666666666666,5.55555555555556,4.86111111111112,7.29166666666666,7.29166666666666,1.04166666666666,3.47222222222222,6.94444444444444
160,33.3333333333333,29.1666666666667,12.5,16.6666666666667,4.16666666666666,8.33333333333334,4.16666666666666,0,4.16666666666666,0,0,0,17.3611111111111,1.38888888888888,16.6666666666667,8.33333333333334,3.125,9.72222222222222,9.02777777777778
161,4.16666666666666,0,8.33333333333334,4.16666666666666,4.16666666666666,4.16666666666666,4.16666666666666,0,0,0,0,0,4.16666666666666,0.694444444444442,2.08333333333334,3.125,2.08333333333334,3.47222222222222,1.38888888888888
162,4.16666666666666,8.33333333333334,4.16666666666666,0,12.5,0,12.5,0,8.33333333333334,8.33333333333334,0,8.33333333333334,4.86111111111112,6.25,6.25,5.20833333333334,5.20833333333334,6.94444444444444,4.16666666666666
163,16.6666666666667,8.33333333333334,8.33333333333334,20.8333333333333,29.1666666666667,29.1666666666667,20.8333333333333,8.33333333333334,16.6666666666667,12.5,20.8333333333333,16.6666666666667,18.75,15.9722222222222,13.5416666666667,14.5833333333333,23.9583333333333,18.75,15.9722222222222
164,16.6666666666667,4.16666666666666,4.16666666666666,8.33333333333334,12.5,4.16666666666666,12.5,4.16666666666666,8.33333333333334,4.16666666666666,16.6666666666667,0,8.33333333333334,7.63888888888888,9.375,6.25,8.33333333333334,11.8055555555556,4.16666666666666
166,8.33333333333334,4.16666666666666,16.6666666666667,0,4.16666666666666,0,0,0,0,0,0,0,5.55555555555556,0,3.125,4.16666666666666,1.04166666666666,4.86111111111112,0.694444444444442
167,12.5,25,20.8333333333333,8.33333333333334,12.5,12.5,4.16666666666666,12.5,0,4.16666666666666,0,8.33333333333334,15.2777777777778,4.86111111111112,13.5416666666667,8.33333333333334,8.33333333333334,8.33333333333334,11.8055555555556
168,0,4.16666666666666,4.16666666666666,8.33333333333334,0,4.16666666666666,0,0,0,4.16666666666666,4.16666666666666,4.16666666666666,3.47222222222222,2.08333333333334,1.04166666666666,4.16666666666666,3.125,1.38888888888888,4.16666666666666
169,0,0,0,8.33333333333334,8.33333333333334,0,0,12.5,0,0,4.16666666666666,0,2.77777777777778,2.77777777777778,3.125,2.08333333333334,3.125,2.08333333333334,3.47222222222222
170,0,8.33333333333334,8.33333333333334,8.33333333333334,0,0,4.16666666666666,16.6666666666667,0,8.33333333333334,0,0,4.16666666666666,4.86111111111112,7.29166666666666,6.25,0,2.08333333333334,6.94444444444444
171,0,4.16666666666666,4.16666666666666,0,0,0,4.16666666666666,4.16666666666666,0,0,0,0,1.38888888888888,1.38888888888888,3.125,1.04166666666666,0,1.38888888888888,1.38888888888888
172,4.16666666666666,20.8333333333333,8.33333333333334,4.16666666666666,0,4.16666666666666,8.33333333333334,0,0,0,0,4.16666666666666,6.94444444444444,2.08333333333334,8.33333333333334,3.125,2.08333333333334,3.47222222222222,5.55555555555556
173,4.16666666666666,0,4.16666666666666,8.33333333333334,8.33333333333334,4.16666666666666,8.33333333333334,0,4.16666666666666,4.16666666666666,0,8.33333333333334,4.86111111111112,4.16666666666666,3.125,5.20833333333334,5.20833333333334,4.86111111111112,4.16666666666666
174,0,4.16666666666666,0,4.16666666666666,0,4.16666666666666,4.16666666666666,4.16666666666666,0,8.33333333333334,4.16666666666666,8.33333333333334,2.08333333333334,4.86111111111112,3.125,3.125,4.16666666666666,1.38888888888888,5.55555555555556
175,16.6666666666667,16.6666666666667,12.5,12.5,20.8333333333333,29.1666666666667,4.16666666666666,25,8.33333333333334,16.6666666666667,12.5,25,18.0555555555556,15.2777777777778,15.625,12.5,21.875,12.5,20.8333333333333
176,0,0,4.16666666666666,0,0,8.33333333333334,0,0,0,4.16666666666666,4.16666666666666,0,2.08333333333334,1.38888888888888,0,2.08333333333334,3.125,1.38888888888888,2.08333333333334
177,4.16666666666666,29.1666666666667,4.16666666666666,41.6666666666667,0,29.1666666666667,4.16666666666666,33.3333333333333,0,12.5,0,4.16666666666666,18.0555555555556,9.02777777777778,17.7083333333333,14.5833333333333,8.33333333333334,2.08333333333334,25
178,4.16666666666666,16.6666666666667,4.16666666666666,8.33333333333334,4.16666666666666,20.8333333333333,4.16666666666666,8.33333333333334,0,0,4.16666666666666,8.33333333333334,9.72222222222222,4.16666666666666,8.33333333333334,3.125,9.375,3.47222222222222,10.4166666666667
179,16.6666666666667,12.5,12.5,20.8333333333333,25,4.16666666666666,12.5,12.5,4.16666666666666,12.5,4.16666666666666,16.6666666666667,15.2777777777778,10.4166666666667,13.5416666666667,12.5,12.5,12.5,13.1944444444444
