"Subject","Validity_GeneralTask","Validity_IDtrials","Overall_RT","Alerting_RT","Orienting_RT","Congruency_RT","Overall_ACC","Alerting_ACC","Orienting_ACC","Congruency_ACC","Hits_Percentage","FA_Percentage","Ap","Bp","Hits_Slope","FA_Slope","Ap_Slope","Bp_Slope","AV_Mean","AV_SD","AV_Lapses","AV_Mean_Slope","AV_SD_Slope","AV_Lapses_Slope","ID_zRT","Exploratory_ID_zRTsame","Exploratory_ID_zRTopposite","ID_PercentageErrors","Exploratory_PercentageErrorssame","Exploratory_PercentageErrorsopposite"
130,"Yes","Yes",636.092250922509,14.5310660562459,55.8321256038648,77.104743729553,5.55555555555556,4.16666666666666,2.08333333333334,-5.55555555555556,72.9166666666667,3.96825396825397,0.915888359476022,0.676490861618799,-1.78571428571429,0.0758920168858057,-0.00569412249140717,0.0368427878298726,579.479166666667,95.6508980524784,28.125,9.88928571428567,5.54222417336149,0.0375,0.143665101247286,0.12530649116015,0.163692675887798,4.16666666666666,0,8.33333333333334
131,"Yes","Yes",520.061371841155,42.9258215962442,46.3043478260869,58.391095818997,3.81944444444444,4.86111111111112,0,0.694444444444442,63.5416666666667,1.76991150442478,0.900248313152482,0.860381584171868,5.17857142857142,0.212585034013606,0.0134885204081633,-0.0533455086380842,438.875,58.8897721438782,3.125,9.79999999999997,0.993811688977461,-0.00178571428571429,0.03436876247505,0.00870481259702832,0.0600327123530717,-4.16666666666666,-4.16666666666666,-4.16666666666666
132,"Yes","Yes",712.658181818182,-61.3414788955887,43.3710622710622,-8.9576324976199,3.125,-0.694444444444442,-1.04166666666666,-0.694444444444442,90.625,5.12820512820513,0.961148835340646,0.271745241539046,-1.25000000000001,-2.25340136054422,0.00322780804050933,0.169412088156946,568.677083333333,116.654460044379,22.9166666666667,-8.92678571428577,-16.8822789274156,-0.0107142857142857,0.0111758697350237,0.0909441406797653,-0.0758440622046942,0,-4.16666666666666,4.16666666666667
133,"Yes","Yes",664.890510948905,28.6366737739872,79.1290282750957,44.5109489051094,4.51388888888888,3.47222222222222,2.08333333333333,0.694444444444454,55.2083333333333,0,0.888020833333333,1,-9.82142857142858,0,-0.0245535714285715,-7.76994260291725e-17,490.760416666667,130.002408462845,10.4166666666667,-7.63750000000004,25.1981200146997,0.025,0.168433591818722,0.0768587554874225,0.269165911783151,4.16666666666666,0,8.33333333333333
134,"Yes","No",527.719858156028,0.215895372233376,48.5594624860023,22.2464657644514,2.08333333333334,1.3888888888889,1.04166666666667,-2.77777777777778,91.6666666666667,4.0983606557377,0.967099006033432,0.320546530948042,-3.21428571428572,-0.216146426672742,-0.00775148639998276,0.347645016547124,377.40625,72.1694757060366,1.04166666666667,-3.51607142857144,10.4514032593259,0.00892857142857143,0.00916712371699444,0.0201363315834836,-0.0127712920159836,87.5,83.3333333333333,91.6666666666667
135,"Yes","Yes",796.756363636364,9.25177304964541,0.305142165759207,77.9701682005713,3.81944444444444,4.86111111111112,7.29166666666667,-0.694444444444442,51.0416666666667,2.72727272727273,0.860814437287234,0.808053791778758,5.53571428571428,0.69187675070028,0.0115542449478103,-0.0670167215398402,498.25,76.3001000206284,7.29166666666667,-8.83214285714288,0.19084271885413,-0.00892857142857144,0.150144657306587,0.109660878685468,0.18725478770928,-4.16666666666667,0,-8.33333333333334
136,"Yes","Yes",563.42578125,30.8936702679607,49.118686868687,15.878054740958,11.1111111111111,-1.38888888888889,7.29166666666666,5.55555555555555,72.9166666666667,8.62068965517241,0.896347437804009,0.429697643355533,-2.85714285714287,-1.42617908407382,-0.00372095750335473,0.132599217486945,510.40625,46.8099355456667,4.16666666666667,5.8017857142857,1.30130661541155,0.0142857142857143,-0.00172140805655798,-0.0449836757738665,0.0415408596607505,-4.16666666666666,-4.16666666666666,-4.16666666666666
137,"No","No",580.793103448276,-17.1104651162791,29.4827586206898,99.1542948038176,68.75,1.38888888888889,0,4.16666666666666,33.3333333333333,5.6,0.781446327683616,0.615655051183952,-0.714285714285715,0.194630379715855,-0.0225778868296158,-0.0472328309316856,505.833333333333,318.497580480496,47.9166666666667,-13.9964285714286,42.626595236663,0.0607142857142857,0.638655462184874,0.859477124183007,0.344226579520697,0,-4.16666666666666,4.16666666666667
138,"Yes","No",589.163424124514,18.7131745260087,65.3200280112045,106.957348842845,10.7638888888889,10.4166666666667,1.04166666666666,3.47222222222222,79.1666666666667,6.10687022900763,0.925244279436567,0.484056786305818,-2.14285714285715,-4.04761904761905,0.012273080929096,0.252866280840695,492.760416666667,118.950121770842,9.375,19.9196428571428,20.3705955509306,0.0303571428571429,NA,NA,NA,66.6666666666667,66.6666666666667,66.6666666666667
139,"Yes","Yes",655.103703703704,35.321992976295,63.9681159420289,25.1436567164179,6.25,1.38888888888888,2.08333333333334,1.38888888888888,83.3333333333333,0,0.958333333333333,1,-0.357142857142861,0,-0.00089285714285726,-7.76994260291725e-17,479.40625,46.9859056414513,2.08333333333333,2.60178571428567,3.82583117634783,0.0107142857142857,0.0964391342439333,0.103313714076278,0.0881896384451199,4.16666666666667,-4.16666666666666,12.5
140,"No","No",637.81990521327,49.0799640610961,35.5335295354215,85.9562443845463,26.0416666666667,0.694444444444443,5.20833333333334,-0.694444444444443,27.0833333333333,5.73770491803279,0.753648888827969,0.570016715080898,-6.78571428571429,-1.89545291800931,1.00919563096124e-05,0.122979190692232,591.15625,189.816605569692,30.2083333333333,15.8160714285714,17.9539057621144,0.0339285714285714,-0.0997622247493022,-0.0421290484559377,-0.140105448154657,-4.16666666666667,8.33333333333333,-16.6666666666667
141,"Yes","No",628.092526690391,36.356990881459,21.2718732314657,24.2997264160502,2.43055555555556,0.694444444444442,-2.08333333333334,-2.08333333333334,73.9583333333333,2.7027027027027,0.923951487799419,0.7597350376627,-3.03571428571429,1.40096618357488,-0.0152325724975981,-0.0821873092661971,553.510416666667,71.3744749880835,16.6666666666667,-2.7089285714286,6.62125710851161,0.0107142857142857,NA,NA,NA,87.5,87.5,87.5
142,"Yes","Yes",495.827464788732,-4.95337995337997,54.2526315789473,63.612676056338,1.38888888888888,1.3888888888889,0,0,68.75,0.917431192660551,0.917815506942514,0.918814041341765,-3.92857142857143,0.840336134453782,-0.0140198266806723,-0.0545944072721457,406.645833333333,58.5992597701885,2.08333333333333,-6.48214285714287,-0.015109462700402,0.00357142857142857,0.14003706929278,0.129429892141757,0.151608535275715,4.16666666666666,0,8.33333333333334
143,"Yes","Yes",595.836879432624,4.83322432962711,46.4312943262411,86.6545271629778,2.08333333333334,2.77777777777778,2.08333333333334,1.3888888888889,66.6666666666667,2.25563909774436,0.906284943127048,0.819481588150586,-3.57142857142858,1.00594893827977,-0.0145016115880778,-0.0705261264714428,608.010416666667,106.218096861492,41.6666666666667,43.9696428571429,9.66994051646342,0.214285714285714,0.0272590480715925,0.00721311475409836,0.0456344869459624,0,4.16666666666667,-4.16666666666666
144,"Yes","Yes",665.266666666667,26.6829016054369,37.9473684210526,-14.7211169112578,1.04166666666666,0.694444444444442,-1.04166666666666,0.694444444444442,85.4166666666667,0.806451612903226,0.960884911268467,0.879312753177818,-0.357142857142863,-0.62111801242236,0.00132265831994086,0.061270336867184,523.46875,102.585620529749,16.6666666666667,1.32678571428573,-0.924139595399399,-0.00357142857142859,0.0419169582150636,0.0478469425924703,0.0354478843488019,0,-4.16666666666666,4.16666666666667
145,"Yes","Yes",544.10394265233,52.5459451125502,22.7122983399579,41.741726618705,3.125,2.08333333333333,3.125,-0.694444444444442,82.2916666666667,4.8780487804878,0.938639478821151,0.516973180295462,-3.39285714285714,0.702826585179526,-0.0107824834479247,-0.0812659951390415,500.90625,141.71001362122,9.375,-7.87321428571431,-26.1424455069139,-0.0232142857142857,-0.0365953947368421,-0.0115131578947368,-0.0616776315789474,0,0,0
146,"Yes","Yes",520.906015037594,12.0375939849623,56.4217054263566,47.5426277702397,7.63888888888888,0,4.16666666666666,1.3888888888889,57.2916666666667,1.51515151515152,0.884974968213605,0.885041192421285,0.892857142857135,-0.927240461401952,0.00767153007448034,0.0627125529090611,466.427083333333,106.992940720569,6.25,15.4767857142857,14.1490180451772,0.0285714285714286,-0.000892776985306527,-0.000113051834265985,-0.00176996778022719,12.5,4.16666666666666,20.8333333333333
147,"Yes","Yes",548.406015037594,12.9542062415196,-32.4157303370787,52.6766968325792,7.29166666666666,0.694444444444442,1.04166666666666,4.86111111111111,59.375,7.9646017699115,0.856113272153004,0.53386714884981,-2.67857142857143,-2.73698609878734,0.00726413004266257,0.0522979012693664,453.625,135.941957428432,5.20833333333333,13.1857142857143,41.4203405882223,0.0410714285714286,-0.0486000864468333,0.00170559691628075,-0.0938752014736359,16.6666666666667,20.8333333333333,12.5
148,"Yes","Yes",547.911347517731,-4.02127659574467,33.188115449915,49.1739436619719,2.08333333333334,0,-2.08333333333334,-1.3888888888889,80.2083333333333,3.50877192982456,0.937785158920027,0.64843012377045,1.9642857142857,-0.566893424036282,0.00768521004893179,0.0806332358280774,534.989583333333,76.8646787394529,12.5,18.4660714285713,12.5825032426524,0.0535714285714286,-0.000748615062135186,-0.0241054050007487,0.0226081748764784,0,0,0
149,"Yes","Yes",466.067375886525,50.8561151079137,43.7720823798627,36.839110529758,2.08333333333334,2.77777777777778,3.125,2.77777777777778,71.875,0.819672131147541,0.926255371459034,0.922678205693047,-0.892857142857148,-0.680272108843538,0.0011585884353741,0.0463222654482945,449.34375,91.520354724768,2.08333333333333,-7.03392857142859,-7.43095866796597,0.00357142857142857,0.192463391473837,0.292418411714728,0.0925083712329452,8.33333333333334,8.33333333333334,8.33333333333334
150,"Yes","Yes",599.968871595331,33.1787404441209,30.6994956570468,42.0354325931319,10.4166666666667,6.94444444444444,4.16666666666666,8.33333333333334,37.5,5.64516129032258,0.796767300799559,0.629642190944548,-4.28571428571429,2.28375408134268,-0.0399288709922502,-0.0690781930653238,505.208333333333,136.749476409402,14.5833333333333,4.58928571428568,19.9417442315189,0.0428571428571428,0.0813481766283889,0.0334619817212083,0.138811610517006,4.16666666666667,-4.16666666666666,12.5
151,"Yes","Yes",528.370106761566,26.0285294415729,10.3277282086478,40.8804457953394,2.43055555555556,3.47222222222222,-1.04166666666666,-0.694444444444442,64.5833333333333,2.83018867924528,0.897923880757238,0.785345109860721,1.78571428571428,-0.571428571428572,0.00741964285714282,0.0231831559882273,482.71875,56.1984646962043,6.25,6.92321428571424,9.5306110437658,0.0285714285714286,0.120560241430008,0.178209394103536,0.0629110887564807,0,0,0
152,"Yes","Yes",602.411111111111,67.4984348399144,11.9528693528694,13.288301141352,6.25,5.55555555555556,-1.04166666666666,1.38888888888888,71.875,9.34579439252336,0.889931677729278,0.409328492342018,0.892857142857144,0.548872180451127,-0.000400145255470598,-0.0185514129536505,443.083333333333,47.9558276282328,1.04166666666667,-1.41071428571431,1.11633309333955,0.00178571428571429,-0.00584337310565766,0.0217329646174573,-0.0389349783733958,4.16666666666667,-4.16666666666666,12.5
153,"Yes","Yes",596.629090909091,32.7150418122155,48.8318996415771,61.1380514122501,4.51388888888888,4.86111111111111,3.125,-0.694444444444454,65.625,7.14285714285714,0.880241038723182,0.545572472178603,-0.892857142857148,-1.10649522967082,0.00447531427727204,0.056360954556484,524.145833333333,84.9464201614501,11.4583333333333,17.1535714285714,3.53090678065476,0.0196428571428571,0.0543436963670425,0.0909172791468511,0.0104553970312725,4.16666666666667,-4.16666666666666,12.5
154,"Yes","Yes",482.237410071942,15.1079136690648,10.6985815602837,44.7505178127589,3.47222222222222,0,-4.16666666666666,4.16666666666667,60.4166666666667,3.96825396825397,0.880532118090895,0.725108355726259,-7.85714285714287,0.790065696897995,-0.0293532303951445,-0.0396925274762568,517.322916666667,83.7865074920736,10.4166666666667,8.2410714285714,10.0960647720176,0.0214285714285714,0.0859103385178408,0.160109789569991,0.0117108874656907,0,0,0
155,"Yes","Yes",613.412408759124,12.5277185501066,68.121003996004,58.5007459505541,4.86111111111112,4.16666666666666,3.125,-1.3888888888889,60.4166666666667,5.45454545454545,0.872761999135921,0.645223396122493,2.85714285714285,0.171568627450981,0.00885886642681543,0.00828924340963142,514.40625,77.3075305278586,15.625,15.6517857142857,4.58789879771752,0.0517857142857143,0.106590933172362,0.0652093641533121,0.144524038106491,4.16666666666666,8.33333333333334,0
156,"Yes","Yes",713.310218978102,55.649496080627,-1.16463116756222,22.4306569343066,4.86111111111112,5.55555555555555,3.125,0,76.0416666666667,3.7593984962406,0.925404819388073,0.668620246304919,-6.96428571428572,1.31876645409353,-0.0268540020484273,-0.0844490577990324,523.8125,129.663557555293,14.5833333333333,-0.953571428571449,8.94233889149027,0.00357142857142855,0.0238597136945889,0.0317420604924997,0.0151891322168872,12.5,8.33333333333334,16.6666666666667
157,"Yes","Yes",542.086642599278,23.7410071942446,18.6287961282517,19.7144868585733,3.81944444444444,0.694444444444442,-8.33333333333334,-3.47222222222222,82.2916666666667,3.6036036036036,0.943126525725714,0.61501713559896,-1.96428571428572,0.272108843537415,-0.00630751940199163,-0.0442060396351594,488.229166666667,54.3746224023993,4.16666666666667,-3.63571428571433,-1.92718022716453,-0.0142857142857143,0.0246047049749326,0.0926270027696947,-0.0377490680035994,0,4.16666666666667,-4.16666666666666
158,"Yes","Yes",527.337037037037,37.0181109708578,21.6009987515605,50.2061906591296,6.25,2.77777777777777,-1.04166666666666,2.77777777777777,82.2916666666667,7.9646017699115,0.927701778317471,0.330654116286504,-3.39285714285715,-4.78839957035446,0.00626820026256111,0.259686751630322,535.71875,86.3078581681816,15.625,9.0017857142857,6.65166603202562,0.0232142857142857,-0.0315326609541601,0.0318304049945779,-0.0948957269028978,4.16666666666667,4.16666666666667,4.16666666666667
159,"Yes","No",610.822878228782,2.10942265795211,64.2526315789473,81.3196971347642,5.20833333333334,0.694444444444442,6.25,3.47222222222222,85.4166666666667,5.17241379310345,0.946414258225654,0.434970140335962,-5.35714285714287,-1.18933697881066,-0.0119611461011838,0.213641821737797,503.791666666667,161.621514765478,18.75,9.14642857142858,26.08602512833,0.0107142857142857,-0.140873152286009,-0.140873152286009,NA,87.5,83.3333333333333,91.6666666666667
160,"Yes","Yes",652.157088122605,-21.2793229968044,43.2501344086021,25.1256018790369,9.375,15.9722222222222,13.5416666666667,-0.694444444444443,60.4166666666667,4.91803278688525,0.875572651686452,0.672893768560037,-2.5,-0.987074463652738,-0.00349682435970134,0.0913960283811399,550.4375,208.110689803591,14.5833333333333,2.99642857142854,21.030678670358,0.0392857142857143,0.0521379483216008,-0.0140371399327387,0.101769264512356,4.16666666666666,16.6666666666667,-8.33333333333334
161,"Yes","Yes",695.309608540925,-12.8115435289349,32.127659574468,25.3272368021077,2.43055555555556,3.47222222222222,0,-2.08333333333334,72.9166666666667,1.92307692307692,0.924370645694175,0.825638955828061,-8.57142857142858,1.10275689223058,-0.0289061567609501,-0.0696646555024402,621.697916666667,188.417069278805,44.7916666666667,-5.07678571428576,-12.0346496110683,0.0482142857142857,0.253012876717039,0.301963885593779,0.199611776124232,4.16666666666666,0,8.33333333333334
162,"Yes","Yes",545.257352941176,15.9235469045689,20.6047619047619,6.9498161367078,5.55555555555556,-1.38888888888888,1.04166666666666,-2.77777777777778,80.2083333333333,7.40740740740741,0.923474476911977,0.39659287107476,0.535714285714283,-3.05383022774327,0.0140305957370138,0.18226635301708,441.8125,48.7036824502062,0,-12.775,1.790928200724,0,0.0776208814719727,0.0760804450149764,0.0791613179289687,0,0,0
163,"Yes","Yes",693.495798319328,24.4269266087448,33.497771909556,-8.00211909302811,17.3611111111111,2.77777777777778,-10.4166666666667,-2.77777777777778,83.3333333333333,24.3478260869565,0.87187989338664,-0.140234428329032,-3.3970440237408e-15,-4.16770186335404,0.0157701526196643,0.0332411320616903,378.40625,74.600349671115,0,-0.90535714285717,-1.78334659086147,0,0.0238981195900905,0.0107551487414187,0.0382359059704596,-8.33333333333334,-12.5,-4.16666666666666
