"Subject","DA_RT","DP_RT","Exploratory_Dopposite_RT","Exploratory_Dsame_RT","DA_PercentageErrors","DP_PercentageErrors","Exploratory_Dopposite_PercentageErrors","Exploratory_Dsame_PercentageErrors"
136,590.391304347826,589.375,614.916666666667,563.833333333333,4.16666666666666,0,0,0
139,672.217391304348,737.045454545455,731.5,741.666666666667,4.16666666666666,8.33333333333334,16.6666666666667,0
142,486.75,554.913043478261,560.545454545455,549.75,0,4.16666666666666,8.33333333333334,0
143,623.863636363636,640.869565217391,652.333333333333,628.363636363636,4.16666666666666,4.16666666666666,0,8.33333333333334
144,658.652173913043,686.260869565217,682,690.166666666667,4.16666666666666,4.16666666666666,8.33333333333334,0
145,608,585.75,570.5,601,0,0,0,0
146,561.619047619048,561.117647058824,560.625,561.555555555556,12.5,25,33.3333333333333,16.6666666666667
147,566.478260869565,538.947368421053,513.3,567.444444444444,4.16666666666666,20.8333333333333,16.6666666666667,25
148,556.583333333333,556.166666666667,569.166666666667,543.166666666667,0,0,0,0
149,454.75,542.272727272727,496.818181818182,587.727272727273,0,8.33333333333334,8.33333333333334,8.33333333333334
150,540.739130434783,584.727272727273,615.8,558.833333333333,4.16666666666666,8.33333333333334,16.6666666666667,0
151,538.458333333333,603.375,572.333333333333,634.416666666667,0,0,0,0
152,613.173913043478,609.590909090909,589.3,626.5,4.16666666666666,8.33333333333334,16.6666666666667,0
153,603.391304347826,636.181818181818,609.7,658.25,4.16666666666666,8.33333333333334,16.6666666666667,0
154,455.416666666667,494.541666666667,460.75,528.333333333333,0,0,0,0
155,564.208333333333,624.347826086957,645.75,601,0,4.16666666666666,0,8.33333333333334
156,742.521739130435,760.238095238095,753.8,766.090909090909,0,12.5,16.6666666666667,8.33333333333334
157,563.695652173913,577.565217391304,542.416666666667,615.909090909091,4.16666666666666,4.16666666666666,0,8.33333333333334
158,630.565217391304,610.681818181818,570.727272727273,650.636363636364,4.16666666666666,8.33333333333334,8.33333333333334,8.33333333333334
160,621.727272727273,654.142857142857,685,613,8.33333333333334,12.5,0,25
161,632.25,792.217391304348,758.454545454545,823.166666666667,0,4.16666666666666,8.33333333333334,0
162,531.136363636364,572.363636363636,573.181818181818,571.545454545455,8.33333333333334,8.33333333333334,8.33333333333334,8.33333333333334
163,728.333333333333,745.739130434783,756.181818181818,736.166666666667,12.5,4.16666666666666,8.33333333333334,0
164,751.842105263158,712.8,739.1,686.5,20.8333333333333,16.6666666666667,16.6666666666667,16.6666666666667
166,643.666666666667,736.875,789.25,684.5,0,0,0,0
167,635.631578947368,788.333333333333,847.454545454545,723.3,20.8333333333333,8.33333333333334,8.33333333333334,8.33333333333334
168,517.913043478261,581.608695652174,543.363636363636,616.666666666667,4.16666666666666,4.16666666666666,8.33333333333334,0
169,503.875,568.695652173913,594.583333333333,540.454545454545,0,4.16666666666666,0,8.33333333333334
172,692.434782608696,778.55,737.7,819.4,4.16666666666666,12.5,16.6666666666667,8.33333333333334
173,527.125,536.583333333333,504.083333333333,569.083333333333,0,0,0,0
174,599.291666666667,617.608695652174,630.181818181818,606.083333333333,0,4.16666666666666,8.33333333333334,0
175,552.291666666667,549.9,520.636363636364,585.666666666667,0,16.6666666666667,8.33333333333334,25
176,465.333333333333,545.583333333333,547.583333333333,543.583333333333,0,0,0,0
177,542.409090909091,536.666666666667,497.6,572.181818181818,8.33333333333334,12.5,16.6666666666667,8.33333333333334
178,542.904761904762,531.913043478261,540.833333333333,522.181818181818,8.33333333333334,4.16666666666666,0,8.33333333333334
180,643,635.95652173913,642.25,629.090909090909,8.33333333333334,4.16666666666666,0,8.33333333333334
181,507.5,504.04347826087,506,502.25,0,4.16666666666666,8.33333333333334,0
184,700.739130434783,875.708333333333,872.583333333333,878.833333333333,4.16666666666666,0,0,0
185,662.347826086957,700.375,663.25,737.5,4.16666666666666,0,0,0
186,577.636363636364,604.333333333333,562.833333333333,645.833333333333,8.33333333333334,0,0,0
187,476.041666666667,455.833333333333,445.666666666667,466,0,0,0,0
188,671.318181818182,655.565217391304,631.636363636364,677.5,8.33333333333334,4.16666666666666,8.33333333333334,0
189,609.347826086957,619.833333333333,653.583333333333,586.083333333333,4.16666666666666,0,0,0
190,625.916666666667,655.434782608696,645.272727272727,664.75,0,4.16666666666666,8.33333333333334,0
191,504.521739130435,516.304347826087,527.5,504.090909090909,4.16666666666666,4.16666666666666,0,8.33333333333334
192,758.636363636364,829.526315789474,841.444444444444,818.8,8.33333333333334,20.8333333333333,25,16.6666666666667
193,747.347826086957,845.708333333333,854.416666666667,837,0,0,0,0
194,688.173913043478,701.913043478261,714.909090909091,690,4.16666666666666,4.16666666666666,8.33333333333334,0
195,560.954545454545,661.136363636364,632.545454545455,689.727272727273,8.33333333333334,8.33333333333334,8.33333333333334,8.33333333333334
196,728.227272727273,796.875,820.916666666667,772.833333333333,8.33333333333334,0,0,0
197,522.458333333333,575.583333333333,568.916666666667,582.25,0,0,0,0
198,594.555555555556,628.85,650.818181818182,602,25,16.6666666666667,8.33333333333334,25
199,573,589.95652173913,604.666666666667,573.909090909091,0,4.16666666666666,0,8.33333333333334
200,569.181818181818,664.608695652174,654.5,675.636363636364,8.33333333333334,4.16666666666666,0,8.33333333333334
201,562.761904761905,585.5,535.083333333333,646,12.5,8.33333333333334,0,16.6666666666667
202,518,535.695652173913,533,538.166666666667,0,4.16666666666666,8.33333333333334,0
203,512.818181818182,546.652173913043,569.75,521.454545454545,8.33333333333334,4.16666666666666,0,8.33333333333334
204,690.083333333333,661.347826086957,628.166666666667,697.545454545455,0,4.16666666666666,0,8.33333333333334
205,615.090909090909,620.454545454545,604.8,633.5,8.33333333333334,8.33333333333334,16.6666666666667,0
206,910,932.52380952381,966,902.090909090909,25,8.33333333333334,16.6666666666667,0
207,840.142857142857,857.611111111111,846.333333333333,868.888888888889,8.33333333333334,16.6666666666667,16.6666666666667,16.6666666666667
208,501.75,529.125,492.666666666667,565.583333333333,0,0,0,0
209,625.666666666667,696.130434782609,673.916666666667,720.363636363636,0,4.16666666666666,0,8.33333333333334
210,668.142857142857,580.708333333333,568.666666666667,592.75,12.5,0,0,0
211,523.875,538.454545454545,524.909090909091,552,0,8.33333333333334,8.33333333333334,8.33333333333334
212,648.6,605.05,574.5,635.6,16.6666666666667,16.6666666666667,16.6666666666667,16.6666666666667
213,596.434782608696,635.708333333333,627.166666666667,644.25,4.16666666666666,0,0,0
214,492.391304347826,552.571428571429,598.888888888889,517.833333333333,4.16666666666666,12.5,25,0
215,494.130434782609,504.625,496.583333333333,512.666666666667,4.16666666666666,0,0,0
216,662.333333333333,663.863636363636,682.272727272727,645.454545454545,0,8.33333333333334,8.33333333333334,8.33333333333334
217,650.833333333333,743.909090909091,750.545454545455,737.272727272727,0,8.33333333333334,8.33333333333334,8.33333333333334
218,544.708333333333,551.25,553.333333333333,549.166666666667,0,0,0,0
220,562.086956521739,561.478260869565,549,572.916666666667,4.16666666666666,4.16666666666666,8.33333333333334,0
221,598.409090909091,555.565217391304,554.5,556.727272727273,8.33333333333334,4.16666666666666,0,8.33333333333334
223,999.944444444444,997.727272727273,966.181818181818,1029.27272727273,20.8333333333333,8.33333333333334,8.33333333333334,8.33333333333334
224,616,610.391304347826,594.545454545455,624.916666666667,16.6666666666667,4.16666666666666,8.33333333333334,0
225,523.875,591.95,616.3,567.6,0,16.6666666666667,16.6666666666667,16.6666666666667
226,575.217391304348,633.863636363636,638.583333333333,628.2,4.16666666666666,8.33333333333334,0,16.6666666666667
227,523.291666666667,551.166666666667,517,585.333333333333,0,0,0,0
