"Subject","EV_Hits_B1","EV_Hits_B2","EV_Hits_B3","EV_Hits_B4","EV_Hits_B5","EV_Hits_B6","EV_FA_B1","EV_FA_B2","EV_FA_B3","EV_FA_B4","EV_FA_B5","EV_FA_B6","EV_Ap_B1","EV_Ap_B2","EV_Ap_B3","EV_Ap_B4","EV_Ap_B5","EV_Ap_B6","EV_Bp_B1","EV_Bp_B2","EV_Bp_B3","EV_Bp_B4","EV_Bp_B5","EV_Bp_B6"
130,87.5,68.75,68.75,68.75,68.75,75,4.76190476190476,0,4.16666666666667,4.54545454545455,8.69565217391304,0,0.953582057823129,0.921875,0.90332674571805,0.901625836284927,0.88281397044984,0.9375,0.413785207236089,1,0.686541737649063,0.663957994749344,0.460335784375235,1
131,62.5,56.25,37.5,75,62.5,87.5,4.76190476190476,0,0,0,0,6.25,0.882514880952381,0.890625,0.84375,0.9375,0.90625,0.948809523809524,0.675744141861938,1,1,1,1,0.302325581395349
132,87.5,100,93.75,93.75,75,93.75,9.52380952380952,18.75,0,0,0,5,0.938249641962048,0.953125,0.984375,0.984375,0.9375,0.970219298245614,0.118680920456605,-1,1,1,1,0.104565537555228
133,87.5,75,50,31.25,50,37.5,0,0,0,0,0,0,0.96875,0.9375,0.875,0.828125,0.875,0.84375,1,1,1,1,1,1
134,100,93.75,100,87.5,81.25,87.5,0,10,5.55555555555556,5.26315789473684,0,4.54545454545455,1,0.955972222222222,0.986111111111111,0.951976294903927,0.953125,0.954274891774892,-1,-0.211356466876972,-1,0.373742864908943,1,0.431952662721894
135,43.75,37.5,50,56.25,37.5,81.25,0,0,6.66666666666667,5.88235294117647,0,5,0.859375,0.84375,0.832738095238095,0.857645271650327,0.84375,0.935273279352227,1,1,0.601423487544484,0.632695153118415,1,0.524628616106333
136,81.25,93.75,62.5,43.75,87.5,68.75,10.5263157894737,12.5,5,13.6363636363636,10.5263157894737,0,0.915221630150036,0.948809523809524,0.881315789473684,0.759248974709501,0.93499834144184,0.921875,0.235921520431901,-0.302325581395349,0.662971175166297,0.352675006654245,0.0746332128428663,1
138,68.75,81.25,100,87.5,81.25,56.25,20.8333333333333,12.5,0,0,0,0,0.825558213716108,0.907967032967033,1,0.96875,0.953125,0.890625,0.131428571428571,0.164179104477612,-1,1,1,1
139,87.5,75,87.5,87.5,81.25,81.25,0,0,0,0,0,0,0.96875,0.9375,0.96875,0.96875,0.953125,0.953125,1,1,1,1,1,1
141,81.25,75,75,75,81.25,56.25,0,0,0,5.55555555555556,0,8.69565217391304,0.953125,0.9375,0.9375,0.915305010893246,0.953125,0.841560990338164,1,1,1,0.562700964630225,1,0.512148642210576
142,75,81.25,75,56.25,62.5,62.5,0,0,0,0,0,5.88235294117647,0.9375,0.953125,0.9375,0.890625,0.90625,0.876861213235294,1,1,1,1,1,0.61783914909498
143,75,62.5,81.25,62.5,68.75,50,0,0,0,5.26315789473684,3.57142857142857,3.84615384615385,0.9375,0.90625,0.953125,0.879989035087719,0.905994468494469,0.850769230769231,1,1,1,0.649154865235267,0.723696834026223,0.742268041237113
144,81.25,87.5,93.75,87.5,75,87.5,4.34782608695652,0,0,0,0,0,0.937616391760413,0.96875,0.984375,0.96875,0.9375,0.96875,0.571107641929711,1,1,1,1,1
145,93.75,75,93.75,75,93.75,62.5,0,0,11.7647058823529,9.09090909090909,9.09090909090909,0,0.984375,0.9375,0.950919117647059,0.90094696969697,0.958570075757576,0.90625,1,1,-0.278401997503121,0.388145315487572,-0.170285714285714,1
