"Subject","AV_Mean_B1","AV_Mean_B2","AV_Mean_B3","AV_Mean_B4","AV_Mean_B5","AV_Mean_B6","AV_SD_B1","AV_SD_B2","AV_SD_B3","AV_SD_B4","AV_SD_B5","AV_SD_B6","AV_Lapses_B1","AV_Lapses_B2","AV_Lapses_B3","AV_Lapses_B4","AV_Lapses_B5","AV_Lapses_B6"
113,554.5,531,502.875,491.625,473.9375,501.3125,89.5589191538174,85.9162382789191,33.2182178931983,79.7085315383491,51.005187644657,130.199702380612,0.0625,0.125,0,0.0625,0,0.125
121,468.4375,494.875,502.375,525.3125,515.4375,514.4375,77.2778267033953,67.4634468928669,38.8619351036461,60.3564067298024,49.3571592240342,67.6589178650285,0.0625,0.0625,0,0.1875,0.0625,0.0625
122,463.8125,464.125,451.0625,477.875,451.1875,459.1875,42.9328448471175,60.1685133603947,33.005996929851,60.2548753214211,59.578764393588,69.4225887829987,0,0,0,0,0,0.125
123,608.4375,570.0625,551,520.875,549.875,506.9375,94.5416795210804,58.4778804335451,70.3676061835274,59.337312600645,75.7477172373311,87.480640715532,0.375,0.375,0.125,0.0625,0.25,0.1875
124,493,513.8125,501.0625,469.1875,463.375,490.1875,60.5673179198155,50.3934106142195,39.6475619258822,41.9987599023273,43.7597608159216,89.2892070745395,0.0625,0.0625,0,0,0,0.125
125,487.8125,456.625,438.0625,448.75,452.9375,445.4375,71.4854006073968,43.7917419916891,57.8774207557086,47.3377932171185,64.9825297035031,61.0769664712757,0.125,0,0,0,0.0625,0
126,466.125,463.5,482.3125,453.0625,422.125,437.125,32.9663970329385,37.6722709695075,54.8959242567242,28.3747980903242,69.5268533254118,28.9456387043022,0,0,0.0625,0,0,0
127,597.125,575.1875,552.4375,577.875,561,483.125,126.233051667673,73.6751597668215,157.622320225701,75.2248850669334,136.338793696683,41.6635332155111,0.3125,0.3125,0.125,0.3125,0.125,0
128,483.4375,474.6875,455.0625,524.625,515.125,499,62.1149136681361,68.9054605963852,61.0141718510271,111.406687411484,146.566424076821,80.1955942264495,0.0625,0.0625,0,0.125,0.0625,0.0625
129,488.0625,431.6875,474.0625,413.1875,445.0625,447.375,20.8565537261872,72.1615952798532,45.4788870429639,70.5409750901323,68.3719910977197,40.6511582450816,0,0,0,0,0,0
130,540.5625,539.25,630.625,607.3125,552.8125,606.3125,48.1247943718551,65.1250079974403,136.364645955859,105.211354742094,75.0868108702631,87.1739401044448,0.125,0.0625,0.5,0.5,0.1875,0.3125
131,406.5,432.75,421.1875,457.8125,468.9375,446.0625,64.4380839773085,43.7759446880742,25.9543670057019,69.4773044478075,74.4217430146146,44.3026993158054,0.0625,0,0,0.0625,0.0625,0
132,574.4375,620.125,565.0625,554.9375,528.625,568.875,113.436601236109,192.18285563494,66.3480406643633,140.409623957904,65.5579895969973,56.4232517082571,0.3125,0.3125,0.125,0.1875,0.0625,0.375
133,487.375,527.9375,509.4375,483.125,451.875,484.8125,51.5,109.149725148532,83.4010141824826,83.4776417172087,222.15906463613,160.065910903394,0,0.125,0.125,0,0.25,0.125
134,404.25,369.25,381.3125,356.4375,367.5625,385.625,50.0273258663036,50.0126650626286,65.0022756011921,72.135953818698,57.6749151133604,117.163063007645,0,0,0,0,0,0.0625
135,507.25,532.3125,489.0625,518.3125,459,483.5625,97.615914003131,47.6469219012799,76.4700104616182,45.4499266592734,73.5835126460631,89.593875348709,0.125,0.0625,0.0625,0.0625,0.0625,0.0625
136,518,486.1875,497.75,506.6875,513.1875,540.625,40.9520044279479,56.9282809038413,19.5737920018921,35.2547278153347,57.5386464329266,46.5587442556891,0.0625,0,0,0,0.0625,0.125
138,432.0625,480.3125,489.625,503.125,486.125,565.3125,26.8290110390475,89.9242041944214,95.6869026216929,159.221386754418,40.2109023358923,186.544264184134,0,0.0625,0.125,0.125,0,0.25
139,480.6875,465,467.25,500.4375,479.5,483.5625,37.9081675456183,36.2491379207837,31.18653555623,68.1762116381758,45.2194648354003,51.9088544148941,0,0,0,0.0625,0,0.0625
141,576.5625,545.75,558.0625,539.5,531.0625,570.125,59.6913938520454,49.0666213767907,54.478703790258,99.2982040790937,54.7801286964534,93.6481891620619,0.1875,0.0625,0.25,0.125,0.125,0.25
142,439.75,412.625,397.1875,388.5625,395.1875,406.5625,50.6655701635736,86.7455090095927,29.9448799184991,34.8749551971038,34.0376629632529,81.1984964967538,0,0.0625,0,0,0,0.0625
143,515.625,551.1875,540.9375,628.25,688.5,723.5625,43.6453510315436,44.4480502009556,45.4436922648971,123.34585522019,69.7672320410282,80.5629929516855,0,0.0625,0.125,0.5,0.875,0.9375
144,559.1875,505.0625,519.1875,480,495.0625,582.3125,123.685201890391,73.3979734052651,102.55939336144,79.1184765609989,51.7216508501678,134.910201615741,0.3125,0.0625,0.125,0.125,0.125,0.25
145,540.4375,505.8125,495.9375,470.8125,496.5,495.9375,218.765923229983,176.188239770234,152.498510921692,55.571238064308,59.4855724805043,125.1758596269,0.1875,0.0625,0.1875,0,0.0625,0.0625
146,439.0625,447.8125,434.0625,489.625,457.5625,530.4375,63.7531371777107,67.7743498677782,88.9287870527124,137.15629770448,45.3974577114916,166.57689665737,0.0625,0,0,0.0625,0,0.25
147,417,440.375,453.3125,434.125,498.9375,478,46.5016128752541,35.0825217641682,51.3779703115385,61.7034574936175,240.227522361615,211.291899197926,0,0,0,0,0.0625,0.25
148,512.875,512.3125,508.8125,499.5625,562.5,613.875,38.2027485922152,50.1221424788154,49.6443602033504,28.3124678071929,92.3168457000129,105.229827837295,0.0625,0.0625,0.0625,0,0.1875,0.375
149,445.125,503.6875,436.375,435.0625,443.625,432.1875,50.6186724440695,187.633941048344,26.7029960865817,46.8778110268245,50.2445685290128,77.0006222918577,0,0.0625,0,0,0,0.0625
150,482.4375,468.375,549.875,516.4375,529.625,484.5,68.5477631533906,50.3015904321126,203.98459909186,113.88823102791,66.4849607054107,216.449224222834,0,0,0.3125,0.1875,0.125,0.25
